"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"385_388.277_3.247",0.16224,0.13226,0.13498,0.14747,0.16975
"386_691.419_3.158",0.0070181,0.034712,0.18098,0.24216,0.26168
"387_349.191_4.084",0.11986,0.08782,0.085701,0.091858,0.10953
"388_456.309_5.426",0.83981,0.83983,0.82445,0.82688,0.82396
"389_385.227_4.766",2.164,1.6268,1.5242,1.4481,1.3731
"390_331.18_3.07",0.032996,0.048187,0.045677,0.0434,0.041273
"391_597.448_9.367",0.070054,0.14492,0.13536,0.12861,0.12226
"392_331.216_5.066",0.02167,0.038906,0.037705,0.042,0.068469
"393_629.384_7.757",0.012274,0.024404,0.034693,0.047658,0.064764
"394_687.461_6.252",0.65542,0.48759,0.45383,0.43962,0.43322
"395_691.419_3.274",0.034642,0.089215,0.083536,0.080895,0.088606
"396_335.211_4.304",0.18457,0.22174,0.21082,0.20038,0.19017
"397_359.174_1.444",0.021753,0.16856,0.16116,0.15534,0.16272
"398_371.198_4.481",0.3894,0.29329,0.2779,0.26524,0.268
"399_338.222_2.507",0.042078,0.079365,0.074254,0.071684,0.086568
"400_284.282_7.982",0.0089133,0.012349,0.016265,0.01576,0.028908
"401_701.44_5.038",0.12446,0.088999,0.082924,0.078856,0.080993
"402_338.222_0.794",0.031778,0.056945,0.054447,0.054249,0.072318
"403_623.407_8.591",0.23091,0.16502,0.15655,0.14929,0.14148
"404_484.339_6.685",1.2611,1.4107,1.4025,1.4094,1.3778
"405_595.433_10.036",0.081604,0.14216,0.14838,0.14312,0.13658
"406_581.453_10.35",0.091146,0.15525,0.1458,0.13965,0.1328
"407_374.26_6.25",0.51514,0.38522,0.35808,0.34487,0.34961
"408_352.206_6.253",0.61522,0.45685,0.425,0.41419,0.40712
"409_541.459_10.108",0.032777,0.048106,0.04477,0.043278,0.042959
"410_309.207_7.543",0.31591,0.23169,0.23764,0.24988,0.24805
"411_659.429_5.276",0.21301,0.15661,0.16479,0.19319,0.26603
"412_333.195_4.588",0.057861,0.083439,0.07821,0.075793,0.083077
"413_331.18_4.092",0.072129,0.085781,0.080054,0.07643,0.074384
"414_281.176_4.837",0.90119,0.64936,0.6133,0.58558,0.56083
"415_271.228_8.32",0.093984,0.30881,0.31823,0.45952,0.53494
"416_687.389_3.813",0.51216,0.58965,1.0813,1.4068,1.437
"417_349.227_5.062",0.061784,0.075821,0.071427,0.069106,0.06856
"418_269.212_6.555",0.18164,0.13526,0.1282,0.13328,0.15082
"419_347.249_6.571",0.24468,0.23435,0.21963,0.21057,0.20359
"420_289.226_5.205",0.60867,0.68882,0.65703,0.63235,0.60911
"421_285.209_10.107",0.025341,0.05945,0.055195,0.052653,0.050311
"422_703.384_3.872",0.10391,0.15791,0.14724,0.14106,0.13418
"423_485.393_10.254",0.020857,0.033501,0.044086,0.051607,0.065961
"424_321.195_3.411",0.080748,0.090606,0.084657,0.080751,0.077312
"425_341.199_6.467",0.56483,0.40995,0.39191,0.39483,0.38601
"426_420.339_8.637",0.043175,0.053025,0.055179,0.057187,0.067505
"427_482.324_6.276",0.30628,0.27013,0.27538,0.30433,0.31367
"428_355.215_6.071",0.58491,0.43406,0.4074,0.38844,0.37105
"429_871.578_10.875",0.068395,0.07223,0.067058,0.064243,0.061187
"430_1019.785_6.341",0.11031,0.27619,0.26808,0.29096,0.28621
"431_635.467_8.201",0.032756,0.025868,0.06232,0.076457,0.094692
"432_531.436_10.081",0.026341,0.028608,0.046137,0.056636,0.081718
"433_631.47_6.13",0.92462,1.9648,2.6471,2.5559,2.901
"434_229.178_7.544",0.026376,0.055217,0.051385,0.049998,0.050755
"435_281.176_4.795",0.075645,0.14134,0.13127,0.12496,0.11965
"436_581.452_9.9",0.10108,0.19953,0.18897,0.18115,0.17433
"437_342.233_6.814",0.10641,0.45339,0.4479,0.43362,0.41512
"438_577.422_10.507",0.23096,0.1731,0.16091,0.15374,0.14925
"439_609.451_8.692",0.020229,0.024685,0.055959,0.06367,0.080024
"440_353.163_3.052",0.028222,0.052567,0.048859,0.048119,0.048478
"441_372.245_2.505",0.044774,0.063528,0.061133,0.061561,0.07014
"442_609.449_10.362",0.26024,0.18598,0.17545,0.16846,0.16103
"443_655.398_7.225",0.089082,0.096918,0.090351,0.085979,0.081552
"444_273.244_7.251",0.039009,0.066976,0.062162,0.059083,0.057463
"445_639.403_7.844",0.12883,0.094524,0.088956,0.086473,0.084239
"446_604.53_10.109",0.063029,0.10196,0.10004,0.095045,0.095078
"447_655.398_5.516",0.16068,0.12298,0.17192,0.20615,0.23963
"448_271.191_4.835",0.65269,0.47017,0.44535,0.42439,0.40428
"449_353.199_6.507",0.10406,0.10371,0.097039,0.092181,0.088425
"450_631.47_5.285",0.87677,1.5796,1.4716,1.4279,1.377
"451_609.449_10.63",0.34338,0.2623,0.26447,0.31895,0.30393
"452_303.219_4.096",0.077312,0.066098,0.062016,0.06175,0.058527
"453_385.227_4.576",0.80054,0.59514,0.55761,0.53094,0.50483
"454_397.191_4.26",0.22541,0.16824,0.16318,0.15517,0.15283
"455_371.21_4.563",0.016082,0.056254,0.058435,0.10121,0.10623
"456_387.206_5.388",0.078942,0.088259,0.082531,0.078779,0.074958
"457_735.409_3.854",0.054565,0.12905,0.13119,0.12732,0.12081
"458_149.109_6.886",0.25923,0.42157,0.39479,0.4152,0.41369
"459_573.465_7.323",0.26981,0.22099,0.22175,0.21088,0.20678
"460_345.231_4.439",0.12959,0.16968,0.17284,0.204,0.21236
"461_347.212_5.192",0.11084,0.1656,0.15395,0.14656,0.13918
"462_347.212_5.172",0.070409,0.16338,0.15509,0.15067,0.14434
"463_617.383_7.638",0.066785,0.081196,0.0759,0.072603,0.069399
"464_269.212_7.104",0.19987,0.15233,0.15051,0.1431,0.14159
"465_522.389_6.688",0.23369,0.36132,0.34955,0.34681,0.36318
"466_397.335_6.515",0.09668,0.092628,0.085992,0.081688,0.077715
"467_374.26_2.346",0.077749,0.086578,0.081577,0.078515,0.076928
"468_478.292_5.429",0.077518,0.065099,0.08352,0.10394,0.10985
"469_369.159_3.417",0.048282,0.082772,0.076866,0.073263,0.072177
"470_322.227_0.628",0.084338,0.091852,0.086094,0.082295,0.078764
"471_491.442_10.779",0.068716,0.080781,0.076261,0.073821,0.074939
"472_595.433_9.758",0.071392,0.084278,0.078433,0.074524,0.071182
"473_215.161_6.88",0.32305,0.46563,0.43222,0.42512,0.41643
"474_311.186_5.297",0.011154,0.034,0.033448,0.034316,0.051608
"475_333.232_6.083",0.029827,0.068571,0.063822,0.060662,0.057822
"476_345.233_5.026",0.075578,0.084763,0.079181,0.075317,0.071429
"477_583.426_8.527",0.037858,0.050512,0.049096,0.048878,0.048574
"478_791.475_8.519",0.067743,0.062513,0.067961,0.070373,0.071726
"479_267.196_5.036",0.029525,0.050943,0.048309,0.045893,0.050152
"480_410.283_0.836",0.10221,0.19067,0.18036,0.17535,0.16819
"481_375.188_0.953",0.092,0.096079,0.089734,0.086032,0.082778
"482_385.227_5.333",0.37433,0.97178,1.0308,1.0164,0.98293
"483_161.109_5.289",0.37574,0.56861,0.52817,0.51205,0.49298
"484_542.347_5.674",0.047898,0.042353,0.068707,0.086747,0.096323
"485_373.226_4.171",0.079381,0.15039,0.15179,0.14575,0.14728
"486_362.26_4.781",0.097129,0.076102,0.072338,0.08028,0.090073
"487_367.216_6.932",0.19091,0.13644,0.13689,0.1373,0.16649
"488_388.277_6.568",0.069207,0.080914,0.075842,0.072553,0.06876
"489_300.279_4.968",0.089253,0.098904,0.091998,0.087485,0.083156
"490_601.425_8.576",0.08741,0.093834,0.087671,0.083551,0.079188
"491_383.211_5.183",0.60686,0.51933,0.59157,0.56218,0.75487
"492_715.42_4.268",0.089543,0.096343,0.089908,0.08555,0.081074
"493_671.393_4.579",0.035086,0.10741,0.10939,0.11061,0.10649
"494_480.341_6.6",0.097558,0.083793,0.078798,0.074873,0.073152
"495_381.196_5.935",0.0065945,0.057869,0.05405,0.051474,0.050991
"496_309.207_7.333",0.018335,0.11647,0.10861,0.10812,0.16396
"497_213.145_5.292",0.33054,0.45815,0.42528,0.41163,0.39639
"498_685.409_4.762",0.015867,0.078991,0.078677,0.11151,0.10644
"499_313.205_3.543",0.086592,0.093725,0.08772,0.083696,0.079747
"500_374.26_1.361",0.082833,0.092234,0.086073,0.081961,0.077811
"501_362.26_2.735",0.071038,0.10748,0.10131,0.099698,0.1017
"502_361.228_5.827",0.14372,0.21062,0.197,0.18927,0.18028
"503_404.272_2.204",0.07458,0.084497,0.079795,0.077315,0.075946
"504_376.24_0.71",0.085029,0.081161,0.080453,0.080731,0.076852
"505_163.124_6.881",0.26244,0.34709,0.3222,0.31386,0.30399
"506_331.205_4.506",0.1076,0.10782,0.10066,0.096783,0.0918
"507_377.297_6.972",0.47862,0.64158,0.61734,0.60156,0.5793
"508_476.276_5.243",0.081357,0.092156,0.08592,0.081883,0.077606
"509_201.144_6.881",0.24354,0.31841,0.29561,0.28776,0.27845
"510_371.196_5.42",0.075373,0.075581,0.071113,0.06759,0.064225
"511_301.204_3.135",0.23293,0.30567,0.28375,0.27518,0.26632
"512_538.421_7.191",0.084579,0.091942,0.08626,0.08256,0.079253
"513_206.12_0.251",0.40846,0.3069,0.3143,0.30485,0.29378
"514_473.313_5.585",0.83985,0.61232,0.78052,0.85027,0.9621
"515_329.2_4.838",0.08233,0.077076,0.084853,0.092267,0.089129
"516_667.434_6.446",0.094099,0.10992,0.10245,0.097368,0.092285
"517_337.167_5.14",0.4695,0.58008,0.61725,0.62783,0.5959
"518_367.216_6.448",0.098095,0.19457,0.35959,0.44285,0.50633
"519_641.475_10.003",0.090787,0.097251,0.090748,0.086346,0.081828
"520_362.261_5.061",0.064288,0.079067,0.073786,0.070352,0.066952
"521_601.425_6.741",0.11147,0.12746,0.1183,0.11262,0.10781
"522_369.232_6.761",0.14497,0.15816,0.15053,0.14449,0.13859
"523_563.442_11.591",0.044288,0.066851,0.062202,0.05948,0.0622
"524_378.256_3.803",0.09713,0.12988,0.13671,0.13062,0.1255
"525_627.439_6.377",0.18597,0.13324,0.56031,0.70528,0.76452
"526_369.231_6.914",0.33536,0.63834,0.91565,0.92702,1.1868
"527_715.42_4.769",0.33699,0.49292,0.52987,0.50387,0.49752
"528_378.256_3.714",0.12047,0.11066,0.10375,0.099449,0.10392
"529_397.191_4.683",0.077302,0.086441,0.081046,0.077702,0.073638
"531_343.214_3.957",0.10794,0.09873,0.091727,0.087527,0.082953
"533_301.204_3.332",0.13048,0.43545,0.42836,0.42979,0.41482
"534_367.216_6.744",0.12964,0.11714,0.11033,0.1083,0.12236
"535_871.579_11.515",0.12041,0.13642,0.13064,0.13947,0.16028
"536_428.367_6.62",10.399,9.541,8.8612,8.4175,7.9796
"537_655.398_4.792",1.3661,2.1768,2.034,1.9386,2.0703
"538_655.398_4.774",0.38354,2.2358,2.1334,2.0557,1.9498
"539_319.215_4.646",4.488,3.2305,3.0945,2.9404,2.8013
"540_301.204_4.64",1.7005,1.2306,1.1743,1.1206,1.1018
"541_971.608_4.779",0.21084,0.36815,0.36949,0.36484,0.34652
"542_339.183_5.07",1.6397,1.2386,1.1506,1.1323,1.1131
"543_953.757_7.458",0.13642,0.10269,0.095334,0.093492,0.12157
"544_341.199_5.242",0.21096,0.1914,0.17782,0.33828,0.43367
"545_975.739_7.473",0.43436,0.4435,0.41999,0.40096,0.38208
"546_283.192_6.466",0.39989,0.28703,0.28031,0.28639,0.29715
"547_285.208_5.025",0.15177,0.11816,0.11078,0.10538,0.1558
"548_341.198_4.387",1.0033,2.1091,1.9788,1.8809,1.8163
"549_319.215_4.35",0.026908,0.3781,1.0466,1.6605,1.6052
"550_385.207_4.365",0.082635,0.070464,0.091861,0.11422,0.12306
"551_719.379_2.898",0.070028,0.065023,0.06187,0.058838,0.056597
"552_659.429_4.557",0.77258,1.5978,1.5289,1.7191,1.8238
"553_691.419_3.541",0.0036518,0.19747,0.19497,0.19302,0.18568
"554_303.22_3.83",0.44361,0.46035,0.42866,0.4072,0.44133
"555_685.409_4.864",0.089769,0.11576,0.11018,0.10815,0.10685
"556_565.458_11.287",0.08059,0.091629,0.085266,0.081075,0.076839
"557_381.195_5.46",0.015664,0.029395,0.045744,0.044172,0.045177
"558_673.409_4.621",0.1043,0.097297,0.09128,0.087994,0.083668
"559_600.498_10.51",0.071365,0.086084,0.08023,0.076558,0.072552
"560_327.219_5.888",0.16186,0.77209,0.84071,0.79912,0.93837
"561_582.472_8.057",0.078796,0.086023,0.081584,0.078795,0.077889
"562_751.442_4.079",0.074903,0.083744,0.078679,0.075591,0.071665
"563_180.076_5.633",0.091533,0.16914,0.15704,0.15064,0.14358
"564_593.417_9.686",0.048434,0.064456,0.061552,0.061286,0.058102
"565_374.261_1.755",0.088942,0.094552,0.088417,0.084229,0.079829
"566_337.167_5.425",0.31553,0.32039,0.34611,0.33004,0.32387
"567_355.215_6.262",6.6861,5.0105,4.7915,4.6828,4.4378
"568_357.194_3.541",0.59327,0.74911,0.79487,0.79259,0.75949
"569_396.286_6.054",0.2412,0.18991,0.18409,0.19545,0.19499
"570_385.227_4.602",0.048769,0.11569,0.10799,0.10356,0.098144
"571_752.562_12.166",0.0080241,0.079229,0.088184,0.084979,0.090839
"572_347.212_4.848",0.041167,0.10551,0.10296,0.12154,0.12226
"573_774.545_12.159",0.0462,0.034463,0.044343,0.04213,0.041096
"574_577.422_10.278",0.34234,0.56206,0.61398,0.6087,0.61856
"575_887.574_10.686",0.059095,0.048691,0.070559,0.088924,0.09458
"576_331.216_6.512",0.1101,0.10633,0.099605,0.094835,0.093828
"577_369.231_6.077",0.23628,0.31159,0.28919,0.2797,0.26885
"578_601.48_10.535",0.22926,0.19732,0.21784,0.2071,0.19693
"579_490.37_5.68",0.016663,0.1043,0.097574,0.09549,0.093677
"580_689.404_3.699",0.16617,0.17683,0.17334,0.1658,0.15784
"581_747.484_5.032",0.09738,0.10079,0.094493,0.090302,0.11398
"582_357.195_3.684",0.069886,0.15147,0.18257,0.18201,0.18232
"583_349.191_2.502",0.45806,0.33105,0.31441,0.29996,0.2939
"584_341.199_4.219",0.18365,0.30843,0.28639,0.27332,0.25969
"585_349.192_2.756",0.12591,0.10712,0.10028,0.095869,0.10767
"586_341.199_3.329",0.029348,0.3363,0.3381,0.33458,0.32477
"587_303.219_4.499",0.49042,0.85047,0.7933,0.76069,0.7249
"588_798.569_6.286",0.083621,0.093077,0.08679,0.082616,0.078295
"589_520.364_5.672",0.089997,0.096805,0.090312,0.085958,0.081499
"590_333.232_6.073",0.4258,0.30789,0.2889,0.27675,0.26264
"591_373.226_4.166",0.025901,0.056851,0.053079,0.051156,0.06237
"592_363.208_3.439",0.11089,0.096224,0.08972,0.085229,0.080828
"593_174.091_0.248",0.088528,0.063363,0.059915,0.05769,0.060255
"594_347.248_4.643",0.16273,0.18525,0.17194,0.16705,0.16022
"595_311.223_6.871",0.13646,0.14434,0.13794,0.13845,0.13251
"596_363.246_3.261",0.066312,0.049577,0.050858,0.048375,0.055489
"597_383.211_4.979",0.12227,0.24006,0.34414,0.41792,0.46887
"598_317.2_4.52",3.4867,5.3795,5.0458,5.1708,5.0006
"599_627.439_5.802",0.75106,0.54926,0.7237,0.75171,0.79819
"600_628.461_6.102",0.23451,0.17809,0.19648,0.18695,0.18719
"601_322.194_5.802",0.56466,0.42085,0.53053,0.56075,0.59396
"602_385.227_4.909",0.30681,0.28535,0.4107,0.41939,0.55888
"603_344.343_6.778",0.13657,0.14001,0.17538,0.27895,0.27553
"604_473.313_5.802",0.34962,0.26818,0.31195,0.34384,0.37976
"605_476.337_6.103",0.32607,0.24178,0.28623,0.28864,0.29115
"606_487.302_4.874",0.4694,0.54262,0.58287,0.55432,0.54021
"607_267.196_5.801",0.33446,0.25412,0.29244,0.32787,0.36531
"608_357.195_4.105",0.21065,0.17463,0.17933,0.20802,0.24945
"609_328.253_4.993",0.19192,0.16375,0.16672,0.16384,0.1601
"610_287.224_7.444",0.32335,0.2373,0.25835,0.25904,0.37878
"611_301.204_5.891",0.38333,0.44357,0.51187,0.48633,0.46866
"612_385.227_5.39",0.45839,0.70093,0.81989,0.93183,1.4415
"613_289.24_7.574",0.15948,1.5914,1.8175,1.7279,1.9858
"614_631.469_5.921",0.2832,0.22192,0.33142,0.33728,0.41989
"615_301.204_6.762",0.52814,3.7499,3.4811,4.1203,3.9329
"616_325.203_6.374",0.25921,0.21467,1.1872,1.4228,1.468
"617_269.212_6.106",0.29851,0.22168,0.31656,0.33053,0.43463
"618_363.244_4.911",0.03791,0.35782,0.36119,0.35056,0.44767
"619_271.228_7.49",0.060054,0.24295,0.30816,0.29274,0.34534
"620_321.231_4.389",0.14299,0.13653,0.22005,0.21029,0.2384
"621_355.179_3.336",0.21523,0.1546,0.2041,0.50346,0.50636
"622_343.214_5.705",0.17022,0.22716,0.21148,0.20103,0.19142
"623_440.251_6.333",0.14929,0.30482,0.29872,0.29797,0.30993
"624_317.2_5.666",1.0898,1.2429,1.3705,1.314,1.2665
"625_369.224_6.684",0.080034,0.16636,0.22719,0.21664,0.24819
"626_857.521_6.747",0.1069,0.099715,0.09268,0.088483,0.083872
"627_467.272_5.293",0.1354,0.1,0.094554,0.090938,0.087812
"628_367.216_6.6",0.23357,0.17973,0.18819,0.19734,0.25878
"629_273.244_7.348",0.035166,0.13598,0.17286,0.16438,0.18564
"630_401.222_4.284",0.10413,0.097635,0.090622,0.08622,0.081728
"631_257.212_5.804",0.1027,0.10517,0.098325,0.093471,0.08974
"632_309.208_7.453",0.102,0.10431,0.097498,0.092729,0.088337
"633_655.398_4.095",0.361,0.4272,0.46786,0.44762,0.44945
"634_687.461_5.985",0.10811,0.10427,0.098017,0.093114,0.088326
"635_659.429_3.667",0.10223,0.10481,0.09792,0.093057,0.089216
"636_299.188_6.356",0.10205,0.091779,0.085207,0.080941,0.076795
"637_323.187_6.748",0.082729,0.21756,0.20302,0.30716,0.31017
"638_341.199_3.649",0.2889,0.20989,0.24379,0.28438,0.33683
"639_341.198_4.868",0.17561,0.14501,0.14471,0.13867,0.14731
"640_871.579_11.969",0.097345,0.1047,0.099138,0.09427,0.089833
"641_359.21_4.155",0.09954,0.10813,0.14079,0.13505,0.1605
"642_343.214_4.392",0.042047,0.38342,0.462,0.4411,0.49196
"643_305.235_7.212",0.10597,0.10413,0.097812,0.092918,0.088733
"644_703.456_4.893",0.10226,0.086365,0.084007,0.081466,0.086432
"645_834.647_11.161",0.087532,0.082836,0.081596,0.082002,0.079875
"646_641.418_5.669",0.11382,0.1098,0.10681,0.10235,0.099162
"647_345.232_4.904",0.12683,0.11231,0.1069,0.10449,0.10942
"648_357.196_3.787",0.087288,0.080691,0.07811,0.077608,0.073758
"649_361.228_4.278",0.13912,0.10002,0.10286,0.097749,0.092637
"650_611.459_10.453",0.15166,0.12068,0.12425,0.12143,0.12106
"651_192.103_0.237",0.17134,0.15312,0.14398,0.1415,0.1392
"652_311.223_7.565",0.060996,0.051898,0.072295,0.06868,0.084336
"653_399.207_4.233",0.094637,0.090792,0.088039,0.084469,0.080176
"654_529.311_4.289",0.27553,0.25813,0.271,0.25792,0.25397
"655_489.317_4.288",0.32666,0.34116,0.37307,0.35451,0.34566
"656_655.398_5.666",1.0187,1.1305,1.2656,1.2106,1.1696
"657_389.186_4.363",0.18437,0.15895,0.14762,0.14032,0.13344
"658_527.295_5.009",0.11827,0.097093,0.090138,0.087027,0.083786
"659_583.469_10.276",0.058278,0.042259,0.062359,0.064738,0.064372
"660_371.174_2.953",0.13639,0.10083,0.10473,0.099709,0.099037
"661_371.174_2.823",0.043585,0.032602,0.030483,0.074607,0.093133
"662_399.207_5.249",0.18472,0.1325,0.12892,0.12688,0.12511
"663_627.439_5.947",0.14096,0.12073,0.11375,0.1121,0.13411
"664_363.244_5.377",0.12921,0.51127,0.52509,0.4988,0.55752
"665_685.467_9.239",1.0498,1.3403,1.2747,1.2299,1.1763
"666_385.226_5.517",0.10586,0.10567,0.099261,0.094317,0.089853
"667_356.287_7.361",0.10096,0.10407,0.097196,0.09233,0.088081
"668_609.488_6.098",0.072129,0.056578,0.077033,0.073179,0.099305
"669_659.429_3.801",0.10692,0.10644,0.099747,0.095177,0.092662
"670_309.208_7.426",0.1091,0.10612,0.098913,0.094249,0.093659
"671_349.264_6.227",0.13222,0.15573,0.14909,0.16306,0.17466
"672_369.195_4.761",0.29431,0.27419,0.39452,0.41243,0.4368
"673_323.188_5.229",0.14363,0.11713,0.11068,0.10934,0.13791
"674_399.207_4.366",0.10833,0.10395,0.0965,0.091699,0.086945
"675_659.429_4.977",0.25143,0.17971,0.17038,0.18658,0.31819
"676_687.391_4.741",0.3995,0.41507,0.43647,0.42215,0.42198
"677_487.299_3.603",0.19843,0.1576,0.1701,0.16169,0.15741
"678_1031.615_4.875",0.14579,0.10444,0.10342,0.098543,0.095357
"679_427.278_4.165",0.13844,0.10033,0.099129,0.094193,0.089852
"680_411.283_3.605",0.14489,0.10369,0.10511,0.09987,0.095358
"681_919.676_6.532",1.0344,1.6653,1.6027,1.5789,1.544
"682_445.289_4.165",0.12506,0.096256,0.09154,0.087001,0.082655
"683_397.191_5.051",0.15395,0.11121,0.10434,0.10277,0.10812
"684_897.694_6.544",0.57099,0.8969,0.86181,0.83732,0.82008
"685_397.191_5.177",0.229,0.1716,0.16568,0.16486,0.17384
"686_747.411_3.891",0.1008,0.10092,0.093955,0.089406,0.084729
"687_429.294_3.605",0.11817,0.095308,0.089695,0.085216,0.080768
"688_405.255_5.858",0.10547,0.099226,0.092178,0.087788,0.083218
"689_713.405_4.127",0.16877,0.12465,0.14219,0.13566,0.12862
"690_502.29_4.996",0.054331,0.049373,0.056769,0.061,0.062779
"691_793.529_6.399",0.10057,0.10101,0.094048,0.089492,0.08481
"692_388.277_1.217",0.10585,0.098281,0.091226,0.086797,0.082282
"693_465.316_3.604",0.10774,0.097111,0.090205,0.085726,0.081257
"694_375.208_3.858",0.13103,0.096293,0.094909,0.09016,0.085508
"695_469.288_4.319",0.10125,0.10074,0.093757,0.089221,0.084555
"696_469.288_4.563",0.11523,0.095567,0.089357,0.084924,0.080499
"697_463.301_4.164",0.10292,0.099406,0.092281,0.087698,0.083166
"698_299.188_3.887",0.14855,0.10621,0.11137,0.1058,0.10084
"699_633.415_5.656",0.22977,0.20528,0.24677,0.23543,0.22415
"700_439.203_5.209",0.10066,0.10107,0.093906,0.089215,0.084771
"701_385.191_3.194",0.149,0.10648,0.10944,0.10399,0.098905
"702_301.204_4.86",0.19917,0.28696,0.27209,0.271,0.29524
"703_406.288_0.462",0.11107,0.09671,0.089938,0.085482,0.081014
"704_617.474_9.534",0.12849,0.096457,0.093263,0.088595,0.083971
"705_713.405_6.197",0.18753,0.14263,0.1534,0.1462,0.14194
"706_359.212_5.573",0.21196,0.17773,0.21602,0.20686,0.19617
"707_745.576_9.883",0.099943,0.10062,0.093691,0.089194,0.084527
"708_647.395_5.803",0.10467,0.098706,0.091614,0.087108,0.082575
"709_611.428_9.284",0.23512,0.2228,0.26529,0.25256,0.24075
"710_617.474_9.39",0.13058,0.097928,0.094811,0.090066,0.085362
"711_301.204_4.977",0.10196,0.083554,0.10098,0.11726,0.11474
"712_729.436_7.916",0.10152,0.099832,0.092795,0.088287,0.083669
"713_625.444_9.611",0.11297,0.093326,0.086925,0.083062,0.079576
"714_691.422_6.291",0.11946,0.094596,0.08987,0.08537,0.080907
"715_281.177_3.891",0.12241,0.095025,0.092211,0.087756,0.083425
"716_715.42_5.536",0.11045,0.096291,0.090032,0.085577,0.081401
"717_412.281_5.625",0.098337,0.085572,0.079501,0.075878,0.072163
"718_385.191_3.564",0.10247,0.098737,0.091783,0.087475,0.08294
"719_617.474_9.697",0.10836,0.097027,0.090202,0.085695,0.081266
"720_504.339_5.558",0.14461,0.17091,0.16112,0.15885,0.15788
"721_659.487_9.898",0.1108,0.096324,0.089838,0.085339,0.080968
"722_575.463_9.376",0.10389,0.098776,0.091685,0.08716,0.082619
"723_725.556_10.437",0.10139,0.10213,0.095158,0.090415,0.086022
"724_691.42_1.612",0.10814,0.097372,0.090449,0.085978,0.081511
"725_262.238_3.352",0.35663,0.36636,0.37854,0.36905,0.3832
"726_262.238_3.339",0.30959,0.256,0.32615,0.31868,0.30412
"727_374.26_0.752",0.1014,0.10031,0.09316,0.08852,0.083993
"728_691.422_6.466",0.10675,0.097869,0.090854,0.086371,0.08188
"729_353.164_4.203",0.10038,0.1008,0.093745,0.089156,0.084522
"730_383.211_5.589",0.14127,0.13527,0.12822,0.13276,0.14433
"731_345.196_5.208",0.17926,0.17647,0.17465,0.20542,0.20543
"732_597.448_9.831",0.10984,0.12701,0.11788,0.11199,0.10682
"733_373.189_3.076",0.028732,0.020979,0.045323,0.044347,0.047653
"734_779.513_5.433",0.12468,0.097392,0.0909,0.087219,0.083573
"735_397.191_4.101",0.075805,0.061068,0.056868,0.057,0.055071
"736_397.191_5.344",0.11344,0.10515,0.098002,0.093533,0.088978
"737_583.469_10.85",0.1068,0.098635,0.091861,0.087426,0.083663
"738_333.196_4.502",0.10413,0.098244,0.091214,0.086825,0.082285
"739_315.185_5.156",0.029493,0.033285,0.085186,0.10994,0.10874
"740_315.184_5.419",0.20518,0.16662,0.18158,0.1731,0.16949
"741_691.422_5.998",0.15859,0.11369,0.11615,0.11092,0.10732
"742_713.405_6.003",0.12956,0.098743,0.092918,0.08927,0.086302
"743_655.399_6.434",0.11607,0.096379,0.091607,0.087315,0.08359
"744_397.191_3.806",0.13436,0.098047,0.098974,0.094274,0.08941
"745_559.516_11.117",0.10495,0.075053,0.11212,0.14922,0.16435
"746_335.211_5.606",0.10697,0.097241,0.090272,0.085838,0.081347
"747_345.196_3.445",0.11204,0.09591,0.089586,0.085101,0.080705
"748_335.195_3.327",0.089641,0.09598,0.089255,0.084801,0.081005
"749_315.221_6.099",0.082628,0.090744,0.084533,0.08056,0.076353
"750_357.194_3.27",0.16617,0.22087,0.23967,0.2651,0.27113
"751_723.52_9.443",0.10358,0.098969,0.091867,0.087323,0.082783
"752_309.207_7.283",0.088647,0.090731,0.084313,0.080224,0.076039
"753_262.238_3.402",0.47924,0.59105,0.67162,0.63822,0.63892
"754_387.206_3.762",0.071385,0.12441,0.11789,0.13816,0.13525
"755_285.208_3.728",0.0079861,0.12841,0.12929,0.12288,0.15416
"756_513.425_10.763",0.54952,0.49359,0.48676,0.47202,0.48739
"757_715.42_5.752",0.10088,0.10013,0.093074,0.088515,0.083891
"758_397.191_3.616",0.14015,0.10113,0.10662,0.10213,0.097761
"759_371.174_2.202",0.099797,0.10126,0.094147,0.089467,0.084887
"760_305.235_5.02",0.15181,0.16327,0.15625,0.15892,0.15327
"761_341.199_5.066",0.27822,0.20165,0.24649,0.25915,0.26834
"762_747.483_4.91",0.12594,0.09248,0.10156,0.10403,0.13174
"763_585.449_10.313",0.12173,0.10602,0.10222,0.098018,0.094025
"764_319.216_5.276",0.2891,0.21319,0.22791,0.25069,0.34786
"765_747.483_5.39",0.12438,0.090945,0.096285,0.10682,0.15041
"766_301.204_4.351",0.060667,0.051611,0.97762,1.3622,1.3431
"767_659.429_4.381",0.3019,0.68611,1.5091,2.3079,2.2417
"768_659.429_5.072",0.1172,0.11041,0.10435,0.10131,0.10168
"769_703.456_4.741",0.10065,0.10152,0.09492,0.090241,0.085537
"770_347.248_6.926",0.013027,0.1572,0.19792,0.18971,0.2063
"771_378.256_3.25",0.12487,0.12602,0.11783,0.11287,0.10933
"772_650.516_10.946",0.11035,0.097195,0.090224,0.085709,0.081261
"773_299.188_5.718",0.40432,0.45155,0.50686,0.48156,0.46673
"774_701.441_5.282",0.11599,0.11035,0.10416,0.10095,0.10123
