"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"89_341.199_5.614",0.36174,0.38362,0.41498,0.39796,0.39542
"90_487.302_5.008",0.10136,0.10232,0.095166,0.090494,0.085759
"91_652.389_4.434",0.34278,0.35572,0.39241,0.37413,0.36541
"92_553.33_7.247",0.0077239,0.082811,0.10689,0.14374,0.17163
"93_162.089_0.246",2.6734,2.4035,2.4416,2.4109,2.3241
"94_331.216_6.333",0.31766,0.3157,0.36928,0.35335,0.33496
"95_355.215_6.599",0.77126,0.83658,0.86477,0.83924,0.86049
"96_471.325_6.581",0.28154,0.24105,0.22751,0.21994,0.20988
"97_835.503_6.62",0.10211,0.10234,0.095149,0.09047,0.085738
"98_707.524_9.886",0.21289,0.16828,0.17431,0.16714,0.16498
"99_671.393_6.267",0.25738,0.23724,0.25797,0.24709,0.24459
"100_355.179_4.344",3.5825,2.7025,2.5086,2.5473,2.4163
"101_752.57_9.345",0.078387,0.071939,0.10846,0.13911,0.19927
"102_683.396_6.449",0.6075,0.72202,0.76587,0.73952,0.74319
"103_399.207_3.889",0.49298,0.70863,0.73037,0.70632,0.69415
"104_917.585_10.983",0.19773,0.14135,0.14049,0.13445,0.1319
"105_299.188_4.627",0.67472,1.416,1.5137,1.5015,1.789
"106_333.196_4.693",0.042612,0.59395,0.56413,0.57179,0.61359
"107_541.369_8.011",0.25627,0.18314,0.17427,0.16582,0.15815
"108_671.487_10.018",0.47594,0.67573,0.64288,0.64801,0.65624
"109_793.493_6.144",0.10232,0.10235,0.095143,0.090463,0.085732
"110_418.329_6.954",0.2626,0.23906,0.24445,0.23224,0.22021
"111_375.208_4.131",0.7629,1.0426,1.1947,1.1357,1.0836
"112_685.41_7.569",0.12464,0.095305,0.090372,0.086183,0.083036
"113_271.228_7.587",0.16975,1.7943,1.8641,1.7712,1.9378
"114_631.364_6.849",0.059561,0.045056,0.061161,0.085032,0.094552
"115_325.203_5.807",1.4596,1.0434,1.5592,1.5098,1.4558
"116_327.219_6.131",0.67793,0.68326,1.0833,1.2552,1.527
"117_344.342_6.756",0.87628,0.70038,0.6519,0.64186,0.6544
"118_303.22_6.796",0.33007,0.32454,0.36429,0.34627,0.33112
"119_690.512_9.594",0.13202,0.097111,0.095586,0.090806,0.086421
"120_462.234_6.329",0.43374,0.94617,0.96192,0.99458,1.0738
"121_434.264_5.627",0.099623,0.13345,0.14459,0.16314,0.20347
"122_327.219_5.265",0.85588,3.6845,3.7308,3.5454,3.3599
"123_371.174_3.881",1.184,1.5678,1.4938,1.6096,1.5624
"124_559.516_11.134",0.29244,0.28397,0.27743,0.30289,0.31561
"125_631.4_6.269",0.1859,0.14437,0.15162,0.14601,0.14485
"126_774.553_9.345",0.054227,0.046641,0.099753,0.1403,0.16507
"127_271.191_4.434",0.34479,0.36421,0.40228,0.38316,0.37425
"128_271.228_6.88",4.0282,2.8793,3.5125,4.3564,4.58
"129_355.179_3.505",0.29934,0.30037,0.33439,1.0404,1.0733
"130_328.252_5.045",0.20705,0.40029,0.37244,0.35478,0.33795
"131_797.499_7.406",0.11619,0.097147,0.090181,0.086467,0.083351
"132_273.244_7.407",1.2234,1.1366,1.0561,1.0033,1.0405
"133_281.176_4.437",0.25838,0.24157,0.26151,0.25025,0.24768
"134_359.212_5.855",0.30508,0.29584,0.31073,0.29862,0.29555
"135_499.357_7.405",2.0317,2.8087,2.7274,2.7272,2.6959
"136_610.184_10.872",0.10384,0.10205,0.094815,0.090165,0.085459
"137_579.438_10.536",0.2808,0.27801,0.31364,0.29795,0.28843
"138_613.353_6.842",0.095712,0.093477,0.087746,0.084047,0.079946
"139_361.226_4.817",0.13425,0.096915,0.093324,0.089274,0.086834
"140_678.548_11.516",0.45876,0.45996,0.45189,0.42947,0.42244
"141_675.427_7.481",0.19424,0.15706,0.16903,0.16193,0.16127
"142_981.562_8.204",0.14459,0.10398,0.11363,0.11355,0.10887
